lowerBound,upperBound,HourOfDay,BucketMinuteOfHour,DayOfWeek,combo
0,0,00,30,Thursday,"34.193.54.29:8088-httpevent-main"
0,0,00,30,Thursday,"splunkes01-ess_content_importer-main"
"297.838618294922500","366.161381705077500",00,30,Thursday,"splunkes01-stream:ip-main"
15,15,00,30,Thursday,"splunksearch01-exec-main"
15,15,00,30,Thursday,"splunksearch02-exec-main"
0,0,00,30,Thursday,"splunksearch02-stash-main"
15,15,00,30,Thursday,"splunksearch03-exec-main"
"375.3167371337290","1640.6832628662710",00,30,Thursday,"usesplunkdeploy01-stream:ip-main"
0,0,00,30,Thursday,"usesplunkfwd01-detectify_findings-main"
15,15,00,30,Thursday,"usesplunkfwd01-exec-main"
0,0,00,30,Tuesday,"34.193.54.29:8088-httpevent-main"
0,0,00,30,Tuesday,"splunkes01-ess_content_importer-main"
"316.69125352592664","409.30874647407336",00,30,Tuesday,"splunkes01-stream:ip-main"
15,15,00,30,Tuesday,"splunksearch01-exec-main"
15,15,00,30,Tuesday,"splunksearch02-exec-main"
0,0,00,30,Tuesday,"splunksearch02-stash-main"
15,15,00,30,Tuesday,"splunksearch03-exec-main"
"313.9934615713470","1614.0065384286531",00,30,Tuesday,"usesplunkdeploy01-stream:ip-main"
0,0,00,30,Tuesday,"usesplunkfwd01-detectify_findings-main"
15,15,00,30,Tuesday,"usesplunkfwd01-exec-main"
0,0,00,30,Wednesday,"34.193.54.29:8088-httpevent-main"
0,0,00,30,Wednesday,"splunkes01-ess_content_importer-main"
"293.615380247733360","390.384619752266640",00,30,Wednesday,"splunkes01-stream:ip-main"
15,15,00,30,Wednesday,"splunksearch01-exec-main"
15,15,00,30,Wednesday,"splunksearch02-exec-main"
0,0,00,30,Wednesday,"splunksearch02-stash-main"
15,15,00,30,Wednesday,"splunksearch03-exec-main"
"905.377976264758400","1024.622023735241600",00,30,Wednesday,"usesplunkdeploy01-stream:ip-main"
0,0,00,30,Wednesday,"usesplunkfwd01-detectify_findings-main"
15,15,00,30,Wednesday,"usesplunkfwd01-exec-main"
0,0,00,45,Friday,"34.193.54.29:8088-httpevent-main"
0,0,00,45,Friday,"splunkes01-ess_content_importer-main"
"306.387246563404630","349.612753436595370",00,45,Friday,"splunkes01-stream:ip-main"
15,15,00,45,Friday,"splunksearch01-exec-main"
15,15,00,45,Friday,"splunksearch02-exec-main"
0,0,00,45,Friday,"splunksearch02-stash-main"
15,15,00,45,Friday,"splunksearch03-exec-main"
"346.6099738055008","1581.3900261944991",00,45,Friday,"usesplunkdeploy01-stream:ip-main"
0,0,00,45,Friday,"usesplunkfwd01-detectify_findings-main"
15,15,00,45,Friday,"usesplunkfwd01-exec-main"
0,0,00,45,Monday,"34.193.54.29:8088-httpevent-main"
0,0,00,45,Monday,"splunkes01-ess_content_importer-main"
"309.849683405246900","374.150316594753100",00,45,Monday,"splunkes01-stream:ip-main"
15,15,00,45,Monday,"splunksearch01-exec-main"
15,15,00,45,Monday,"splunksearch02-exec-main"
0,0,00,45,Monday,"splunksearch02-stash-main"
15,15,00,45,Monday,"splunksearch03-exec-main"
"310.446416963372","1601.553583036628",00,45,Monday,"usesplunkdeploy01-stream:ip-main"
0,0,00,45,Monday,"usesplunkfwd01-detectify_findings-main"
15,15,00,45,Monday,"usesplunkfwd01-exec-main"
0,0,00,45,Saturday,"34.193.54.29:8088-httpevent-main"
0,0,00,45,Saturday,"splunkes01-ess_content_importer-main"
"308.185707720905950","373.814292279094050",00,45,Saturday,"splunkes01-stream:ip-main"
15,15,00,45,Saturday,"splunksearch01-exec-main"
15,15,00,45,Saturday,"splunksearch02-exec-main"
0,0,00,45,Saturday,"splunksearch02-stash-main"
15,15,00,45,Saturday,"splunksearch03-exec-main"
"150.01990592080813","1751.98009407919200",00,45,Saturday,"usesplunkdeploy01-stream:ip-main"
0,0,00,45,Saturday,"usesplunkfwd01-detectify_findings-main"
15,15,00,45,Saturday,"usesplunkfwd01-exec-main"
0,0,00,45,Sunday,"34.193.54.29:8088-httpevent-main"
0,0,00,45,Sunday,"splunkes01-ess_content_importer-main"
"300.389817215025700","343.610182784974300",00,45,Sunday,"splunkes01-stream:ip-main"
15,15,00,45,Sunday,"splunksearch01-exec-main"
15,15,00,45,Sunday,"splunksearch02-exec-main"
0,0,00,45,Sunday,"splunksearch02-stash-main"
15,15,00,45,Sunday,"splunksearch03-exec-main"
"354.8507522633662","1581.1492477366337",00,45,Sunday,"usesplunkdeploy01-stream:ip-main"
0,0,00,45,Sunday,"usesplunkfwd01-detectify_findings-main"
15,15,00,45,Sunday,"usesplunkfwd01-exec-main"
0,0,00,45,Thursday,"34.193.54.29:8088-httpevent-main"
0,0,00,45,Thursday,"splunkes01-ess_content_importer-main"
